Tick,Power (EU/t),Hull Heat (HU),Hull Heat (%),Total Power (EU),Exploded
6681,20.0,0.0,0.0,133620.0,False
6701,20.0,0.0,0.0,134020.0,False
6721,20.0,0.0,0.0,134420.0,False
6741,20.0,0.0,0.0,134820.0,False
6761,20.0,0.0,0.0,135220.0,False
6781,20.0,0.0,0.0,135620.0,False
6801,20.0,0.0,0.0,136020.0,False
6821,20.0,0.0,0.0,136420.0,False
6841,20.0,0.0,0.0,136820.0,False
6861,20.0,0.0,0.0,137220.0,False
6881,20.0,0.0,0.0,137620.0,False
6901,20.0,0.0,0.0,138020.0,False
6921,20.0,0.0,0.0,138420.0,False
6941,20.0,0.0,0.0,138820.0,False
6961,20.0,0.0,0.0,139220.0,False
6981,20.0,0.0,0.0,139620.0,False
7001,20.0,0.0,0.0,140020.0,False
7021,20.0,0.0,0.0,140420.0,False
7041,20.0,0.0,0.0,140820.0,False
7061,20.0,0.0,0.0,141220.0,False
7081,20.0,0.0,0.0,141620.0,False
7101,20.0,0.0,0.0,142020.0,False
7121,20.0,0.0,0.0,142420.0,False
7141,20.0,0.0,0.0,142820.0,False
7161,20.0,0.0,0.0,143220.0,False
7181,20.0,0.0,0.0,143620.0,False
7201,20.0,0.0,0.0,144020.0,False
7221,20.0,0.0,0.0,144420.0,False
7241,20.0,0.0,0.0,144820.0,False
7261,20.0,0.0,0.0,145220.0,False
7281,20.0,0.0,0.0,145620.0,False
7301,20.0,0.0,0.0,146020.0,False
7321,20.0,0.0,0.0,146420.0,False
7341,20.0,0.0,0.0,146820.0,False
7361,20.0,0.0,0.0,147220.0,False
7381,20.0,0.0,0.0,147620.0,False
7401,20.0,0.0,0.0,148020.0,False
7421,20.0,0.0,0.0,148420.0,False
7441,20.0,0.0,0.0,148820.0,False
7461,20.0,0.0,0.0,149220.0,False
7481,20.0,0.0,0.0,149620.0,False
7501,20.0,0.0,0.0,150020.0,False
7521,20.0,0.0,0.0,150420.0,False
7541,20.0,0.0,0.0,150820.0,False
7561,20.0,0.0,0.0,151220.0,False
7581,20.0,0.0,0.0,151620.0,False
7601,20.0,0.0,0.0,152020.0,False
7621,20.0,0.0,0.0,152420.0,False
7641,20.0,0.0,0.0,152820.0,False
7661,20.0,0.0,0.0,153220.0,False
7681,20.0,0.0,0.0,153620.0,False
