2026-03-30 16:00:01,322 [INFO] 创建 4 个并行环境
2026-03-30 16:00:01,322 [INFO] 创建评估环境
2026-03-30 16:00:01,322 [INFO] 创建PPO模型...
2026-03-30 16:00:01,947 [INFO] 开始训练...
2026-03-30 16:00:01,947 [INFO] 提示: 可以使用 TensorBoard 查看训练过程: tensorboard --logdir rl_logs_v2
2026-03-30 16:00:12,911 [INFO] Episode 完成: 平均功率=390.00 EU/t, 最大堆温=269.67, 爆炸=否
2026-03-30 16:00:12,911 [INFO] Episode 完成: 平均功率=590.00 EU/t, 最大堆温=10137.00, 爆炸=是
2026-03-30 16:00:12,911 [INFO] Episode 完成: 平均功率=275.00 EU/t, 最大堆温=3258.33, 爆炸=否
2026-03-30 16:00:12,911 [INFO] Episode 完成: 平均功率=525.00 EU/t, 最大堆温=10065.00, 爆炸=是
2026-03-30 16:00:13,200 [INFO] Episode 完成: 平均功率=325.00 EU/t, 最大堆温=2284.33, 爆炸=否
2026-03-30 16:00:13,200 [INFO] Episode 完成: 平均功率=225.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:13,200 [INFO] Episode 完成: 平均功率=405.00 EU/t, 最大堆温=10055.67, 爆炸=是
2026-03-30 16:00:13,200 [INFO] Episode 完成: 平均功率=400.00 EU/t, 最大堆温=10028.67, 爆炸=是
2026-03-30 16:00:13,478 [INFO] Episode 完成: 平均功率=600.00 EU/t, 最大堆温=10046.33, 爆炸=是
2026-03-30 16:00:13,478 [INFO] Episode 完成: 平均功率=610.00 EU/t, 最大堆温=10109.67, 爆炸=是
2026-03-30 16:00:13,478 [INFO] Episode 完成: 平均功率=350.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:13,478 [INFO] Episode 完成: 平均功率=375.00 EU/t, 最大堆温=4071.00, 爆炸=否
2026-03-30 16:00:13,898 [INFO] Episode 完成: 平均功率=230.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:13,898 [INFO] Episode 完成: 平均功率=480.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:13,898 [INFO] Episode 完成: 平均功率=310.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:13,898 [INFO] Episode 完成: 平均功率=360.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:14,220 [INFO] Episode 完成: 平均功率=350.00 EU/t, 最大堆温=26.00, 爆炸=否
2026-03-30 16:00:14,220 [INFO] Episode 完成: 平均功率=395.00 EU/t, 最大堆温=10127.00, 爆炸=是
2026-03-30 16:00:14,220 [INFO] Episode 完成: 平均功率=210.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:14,220 [INFO] Episode 完成: 平均功率=395.00 EU/t, 最大堆温=502.00, 爆炸=否
2026-03-30 16:00:17,056 [INFO] Episode 完成: 平均功率=445.00 EU/t, 最大堆温=10090.00, 爆炸=是
2026-03-30 16:00:17,056 [INFO] Episode 完成: 平均功率=290.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:17,056 [INFO] Episode 完成: 平均功率=300.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:17,056 [INFO] Episode 完成: 平均功率=330.00 EU/t, 最大堆温=2713.00, 爆炸=否
2026-03-30 16:00:17,403 [INFO] Episode 完成: 平均功率=90.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:17,403 [INFO] Episode 完成: 平均功率=325.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:17,403 [INFO] Episode 完成: 平均功率=410.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:17,403 [INFO] Episode 完成: 平均功率=495.00 EU/t, 最大堆温=10015.00, 爆炸=是
